 -32.666 32.980 14.938  6.911 -0.381 13.226 15.549 15.130   0.71
 1 818 530 3 710 7 1103.7709 1104.7916
 15.710  0.562 12.284 12.858-29.471-14.434  4.876  5.758 13.136
 -32.666 32.980 14.938  6.911 -0.381 13.226 15.549 15.130   0.71
 1 818 530 3 710 7 1103.7709 1104.7916
 15.542  0.538 12.071 12.620-34.404-19.537  0.554  0.515 13.136
 -32.666 32.980 14.938  6.911 -0.381 13.226 15.549 15.130   0.71
 1 818 530 3 710 7 1103.7709 1104.7916
 15.923  0.592 12.016 12.620-34.792-19.537  0.134  0.515 13.136
 -32.666 32.980 14.938  6.911 -0.381 13.226 15.549 15.130   0.71
 1 818 530 3 710 7 1103.7709 1104.7916
 15.607  0.554 13.636 14.202-34.773-19.841  7.614  1.594 13.136
 -32.666 32.980 14.938  6.911 -0.381 13.226 15.549 15.130   0.71
 1 818 530 3 710 7 1103.7709 1104.7916
 15.388  0.421 14.365 14.794-36.162-21.452  3.060  4.576 13.136
 -32.666 32.980 14.938  6.911 -0.381 13.226 15.549 15.130   0.71
 1 818 530 4 2 6 5 1103.7709 1104.7916
 15.011 -0.772  7.941  7.153 16.663 30.987  8.737 11.807  7.417
  18.046 46.695 41.922  4.300 -0.095  6.565 12.045 15.310  -0.79
 1 818 530 4 2 6 5 1103.7709 1104.7916
 14.937 -0.665  7.381  6.702 17.393 31.642 29.047 16.917  7.417
  18.046 46.695 41.922  4.300 -0.095  6.565 12.045 15.310  -0.79
 1 818 530 4 2 6 5 1103.7709 1104.7916
 15.184 -0.764  7.040  6.260 21.256 35.756  5.220  2.028  7.417
  18.046 46.695 41.922  4.300 -0.095  6.565 12.045 15.310  -0.79
 1 818 530 4 2 6 5 1103.7709 1104.7916
 14.629 -0.936  7.216  6.260 21.821 35.756  1.514  2.028  7.417
  18.046 46.695 41.922  4.300 -0.095  6.565 12.045 15.310  -0.79
 1 818 530 4 2 6 5 1103.7709 1104.7916
 14.452 -0.932  6.785  5.834 22.033 35.786  2.127  5.524  7.417
  18.046 46.695 41.922  4.300 -0.095  6.565 12.045 15.310  -0.79
 1 918 5 0 4 3 7 3 1104.7916 1105.8125
 14.354 -0.190-19.627-19.433-51.151-37.497  1.221  7.171-18.830
 -47.982  8.397  9.317  6.609  0.563 29.885 23.317 12.820  -0.05
 1 918 5 0 4 3 7 3 1104.7916 1105.8125
 13.578  0.017-19.416-19.433-50.359-37.497  0.625  7.171-18.830
 -47.982  8.397  9.317  6.609  0.563 29.885 23.317 12.820  -0.05
 1 918 5 0 4 3 7 3 1104.7916 1105.8125
 14.163 -0.034-16.600-16.565-43.921-30.462  2.732  2.096-18.830
 -47.982  8.397  9.317  6.609  0.563 29.885 23.317 12.820  -0.05
 1 918 5 0 2 5 7 4 1104.7916 1105.8125
 14.551 -0.096 15.517 15.419-23.358 -9.503  0.892  0.583 13.864
 -18.220 14.938 13.726  6.530 -0.671 15.549 16.882 15.286   0.15
 1 918 5 0 2 5 7 4 1104.7916 1105.8125
 14.283  0.154 14.794 14.951-21.452 -7.872  4.576  1.920 13.864
 -18.220 14.938 13.726  6.530 -0.671 15.549 16.882 15.286   0.15
 1 918 5 0 2 5 7 4 1104.7916 1105.8125
 14.158  0.212 14.779 14.995-19.521 -6.067  0.874  3.065 13.864
 -18.220 14.938 13.726  6.530 -0.671 15.549 16.882 15.286   0.15
 1 918 5 0 2 5 7 4 1104.7916 1105.8125
 14.919  0.313 13.003 13.323-15.501 -1.271  0.729  8.158 13.864
 -18.220 14.938 13.726  6.530 -0.671 15.549 16.882 15.286   0.15
 1 918 5 0 0 0 1 1 1104.7916 1105.8125
 14.109  0.102  6.040  6.144 -7.723  5.680  0.607  0.747  6.040
  -7.723  0.607  0.747  0.000  0.000  0.000  0.000 14.109   0.10
 1 918 5 0 3 2 5 2 1104.7916 1105.8125
 14.964  0.225  7.153  7.382 30.987 45.263 11.807 17.992  6.611
  32.676 41.922 36.525  4.205  0.516 12.045 13.392 15.608   0.21
 1 918 5 0 3 2 5 2 1104.7916 1105.8125
 15.409  0.193  6.092  6.288 35.158 49.888  5.645 18.533  6.611
  32.676 41.922 36.525  4.205  0.516 12.045 13.392 15.608   0.21
 1 918 5 0 3 2 5 2 1104.7916 1105.8125
 14.823  0.027  6.260  6.288 35.756 49.888  2.028 18.533  6.611
